nps,OD,5S,10S,10,20,30,STD,40S,40,60,XS,80S,80,100,120,140,160,XXS,DXS,DXXS,TXS,TXXS
10 mm,17.1,,1.65,,,,2.31,2.31,2.31,,3.2,3.2,3.2,,,,,,,,,
15 mm,21.3,1.65,2.11,,,,2.77,2.77,2.77,,3.73,3.73,3.73,,,,4.78,7.47,,,,
20 mm,26.7,1.65,2.11,,,,2.87,2.87,2.87,,3.91,3.91,3.91,,,,5.56,7.82,,,,
25 mm,33.4,1.65,2.77,,,,3.38,3.38,3.38,,4.55,4.55,4.55,,,,6.35,9.09,,,,
32 mm,42.2,1.65,2.77,,,,3.56,3.56,3.56,,4.85,4.85,4.85,,,,6.35,9.7,,,,
40 mm,48.3,1.65,2.77,,,,3.68,3.68,3.68,,5.08,5.08,5.08,,,,7.14,10.15,,,,
50 mm,60.3,1.65,2.77,,,,3.91,3.91,3.91,,5.54,5.54,5.54,,,,8.74,11.07,12.5945,,,
65 mm,73,2.11,3.05,,,,5.16,5.16,5.16,,7.01,7.01,7.01,,,,9.53,14.02,15.46,,,
80 mm,88.9,2.11,3.05,,,,5.49,5.49,5.49,,7.62,7.62,7.62,,,,11.13,15.24,18.552,,,
100 mm,114.3,2.11,3.05,,,,6.02,6.02,6.02,,8.56,8.56,8.56,,11.13,,13.49,17.12,24.736,,,
125 mm,141.3,2.77,3.4,,,,6.55,6.55,6.55,,9.53,9.53,9.53,,12.7,,15.88,19.05,,,,
150 mm,168.3,2.77,3.4,,,,7.11,7.11,7.11,,10.97,10.97,10.97,,14.27,,18.26,21.95,23.38,37.104,,
200 mm,219.1,2.77,3.75,,6.35,7.04,8.18,8.18,8.18,10.31,12.7,12.7,12.7,15.09,18.26,20.62,23.01,22.23,22.494,23.119,29.96,49.472
250 mm,273.1,3.4,4.19,,6.35,7.8,9.27,9.27,9.27,12.7,12.7,12.7,15.09,18.26,21.44,25.4,28.58,25.4,27.645,,36.96,61.84
300 mm,323.9,3.96,4.57,,6.35,8.38,9.53,9.52,10.31,14.27,12.7,12.7,17.48,21.44,25.4,28.58,33.32,25.4,32.493,,43.54,
350 mm,355.6,3.96,4.78,6.35,7.92,9.53,9.53,,11.13,15.09,12.7,,19.05,23.83,27.79,31.75,35.71,,35.523,38.89,,
400 mm,406.4,4.19,4.78,6.35,7.92,9.53,9.53,,12.7,16.66,12.7,,21.44,26.19,30.96,36.53,40.49,,,44.45,,
450 mm,457.2,4.19,4.78,6.35,7.92,11.13,9.53,,14.27,19.05,12.7,,23.88,29.36,34.93,39.67,45.24,,,,,
500 mm,508,4.78,5.54,6.35,9.53,12.7,9.53,,15.09,20.62,12.7,,26.19,32.54,38.1,44.45,50.01,,,77.8,,
550 mm,558.8,4.78,5.54,6.35,9.53,12.7,9.53,,,22.23,12.7,,28.58,34.93,41.28,47.36,53.98,,,,,
600 mm,609.6,5.54,6.35,6.35,9.53,14.27,9.53,,17.48,24.61,12.7,,30.96,38.89,46.02,52.37,59.54,,,,,
650 mm,660.4,,,7.92,12.7,,9.53,,,,12.7,,,,,,,,,,,
700 mm,711.2,,,7.92,12.7,15.88,9.53,,,,12.7,,,,,,,,,,,
750 mm,762,6.35,7.92,7.92,12.7,15.88,9.53,,,,12.7,,,,,,,,,,,
800 mm,812.8,,,7.92,12.7,15.88,9.53,,17.48,,12.7,,,,,,,,,,,
850 mm,863.6,,,7.92,12.7,15.88,9.53,,17.48,,12.7,,,,,,,,,,,
900 mm,914.4,,,7.92,12.7,15.88,9.53,,19.05,,12.7,,,,,,,,,,,
950 mm,965.2,,,,,,9.53,,,,12.7,,,,,,,,,,,
1000 mm,1016,,,,,,9.53,,,,12.7,,,,,,,,,,,
1050 mm,1066.8,,,,,,9.53,,,,12.7,,,,,,,,,,,
1100 mm,1117.8,,,,,,9.53,,,,12.7,,,,,,,,,,,
1150 mm,1168.4,,,,,,9.53,,,,12.7,,,,,,,,,,,
1200 mm,1219.2,,,,,,9.53,,,,12.7,,,,,,,,,,,
